Id,SalePrice
1,208500
2,181500
3,223500
4,140000
5,250000
6,143000
7,307000
8,200000
9,129900
10,118000
11,129500
12,345000
13,144000
14,279500
15,157000
16,132000
17,149000
18,90000
19,159000
20,139000
21,325300
22,139400
23,230000
24,129900
25,154000
26,256300
27,134800
28,306000
29,207500
30,68500
31,40000
32,149350
33,179900
34,165500
35,277500
36,309000
37,145000
38,153000
39,109000
40,82000
41,160000
42,170000
43,144000
44,130250
45,141000
46,319900
47,239686
48,249700
49,113000
50,127000
51,177000
52,114500
53,110000
54,385000
55,130000
56,180500
57,172500
58,196500
59,438780
60,124900
61,158000
62,101000
63,202500
64,140000
65,219500
66,317000
67,180000
68,226000
69,80000
70,225000
71,244000
72,129500
73,185000
74,144900
75,107400
76,91000
77,135750
78,127000
79,136500
80,110000
81,193500
82,153500
83,245000
84,126500
85,168500
86,260000
87,174000
88,164500
89,85000
90,123600
91,109900
92,98600
93,163500
94,133900
95,204750
96,185000
97,214000
98,94750
99,83000
100,128950
101,205000
102,178000
103,118964
104,198900
105,169500
106,250000
107,100000
108,115000
109,115000
110,190000
111,136900
112,180000
113,383970
114,217000
115,259500
116,176000
117,139000
118,155000
119,320000
120,163990
121,180000
122,100000
123,136000
124,153900
125,181000
126,84500
127,128000
128,87000
129,155000
130,150000
131,226000
132,244000
133,150750
134,220000
135,180000
136,174000
137,143000
138,171000
139,230000
140,231500
141,115000
142,260000
143,166000
144,204000
145,125000
146,130000
147,105000
148,222500
149,141000
150,115000
151,122000
152,372402
153,190000
154,235000
155,125000
156,79000
157,109500
158,269500
159,254900
160,320000
161,162500
162,412500
163,220000
164,103200
165,152000
166,127500
167,190000
168,325624
169,183500
170,228000
171,128500
172,215000
173,239000
174,163000
175,184000
176,243000
177,211000
178,172500
179,501837
180,100000
181,177000
182,200100
183,120000
184,200000
185,127000
186,475000
187,173000
188,135000
189,153337
190,286000
191,315000
192,184000
193,192000
194,130000
195,127000
196,148500
197,311872
198,235000
199,104000
200,274900
201,140000
202,171500
203,112000
204,149000
205,110000
206,180500
207,143900
208,141000
209,277000
210,145000
211,98000
212,186000
213,252678
214,156000
215,161750
216,134450
217,210000
218,107000
219,311500
220,167240
221,204900
222,200000
223,179900
224,97000
225,386250
226,112000
227,290000
228,106000
229,125000
230,192500
231,148000
232,403000
233,94500
234,128200
235,216500
236,89500
237,185500
238,194500
239,318000
240,113000
241,262500
242,110500
243,79000
244,120000
245,205000
246,241500
247,137000
248,140000
249,180000
250,277000
251,76500
252,235000
253,173000
254,158000
255,145000
256,230000
257,207500
258,220000
259,231500
260,97000
261,176000
262,276000
263,151000
264,130000
265,73000
266,175500
267,185000
268,179500
269,120500
270,148000
271,266000
272,241500
273,290000
274,139000
275,124500
276,205000
277,201000
278,141000
279,415298
280,192000
281,228500
282,185000
283,207500
284,244600
285,179200
286,164700
287,159000
288,88000
289,122000
290,153575
291,233230
292,135900
